,arr_delay_prop_by_month,carrier_delay_prop_by_month,weather_delay_prop_by_month,nas_delay_prop_by_month,security_delay_prop_by_month,late_aircraft_delay_prop_by_month,arr_flights_prop_by_month,arr_del15_prop_by_month,carrier_ct_prop_by_month,weather_ct_prop_by_month,nas_ct_prop_by_month,security_ct_prop_by_month,late_aircraft_ct_prop_by_month,arr_cancelled_prop_by_month,arr_diverted_prop_by_month,month
0,50.0,14.879280879395324,2.614872960368495,13.467460877106447,0.14961550248492003,18.888769780644814,69.54967938012237,14.637909768652474,4.304487389057486,0.5634597943717933,4.664309804793107,0.06731082553895222,5.038360077504129,0.98972406782492,0.18475889213475585,8
1,50.0,14.330502414537891,2.9123709989216437,14.684660339724884,0.09487426044339142,17.97759198637219,68.63257902040118,14.788185720408245,4.111924716172921,0.6213913004973394,5.279161067010935,0.039239275611115176,4.736468162399135,1.6333955023833544,0.15765523511577606,1
2,50.0,14.031789521183738,3.000909749685761,14.228717966709453,0.09324631835674044,18.645336444064306,66.83779730040786,15.36522348697164,4.177686921906709,0.6376878147970098,5.391592282179401,0.04107224402530069,5.117196133321343,2.274009493254808,0.15773432313593308,2
3,50.0,14.20118115543135,2.4046983038193166,14.217983911785947,0.08832529043440296,19.087811338528983,68.33573201266579,15.05956763524349,4.245203536643983,0.5124107833328649,5.130208139913523,0.04277814659130227,5.128986604647489,1.3946091258149889,0.15050401514657671,3
4,50.0,14.24335165035371,2.254674223919217,14.957126501514622,0.09713177431483061,18.447715849897623,71.30712334332243,13.780873509380296,3.847896178212923,0.4272501331324851,4.919659602917527,0.036455828311031974,4.549631676328512,0.9881842461027981,0.1429254822919981,4
5,50.0,13.745441595206728,2.4081880639784212,15.410867296382461,0.06579370405116428,18.369709340381227,71.13926064152692,13.970722358310606,3.7221249327710217,0.47716097582570904,5.142696632088447,0.02892279008022971,4.59984081832433,0.7679809167265973,0.15128993434614046,5
6,50.0,13.492030775344244,3.0736141695734083,14.308747536916147,0.06561262793006319,19.059994890236137,65.61458931084225,16.4694280953236,4.575815114707823,0.7160814614591337,5.440785874922726,0.03693992181680665,5.699807058971819,1.221210037955347,0.22534312400051604,6
7,50.0,14.358218473145765,2.9240628015499923,13.398623848454443,0.07545976139579513,19.243635115454,67.165445797864,15.762616162516188,4.612866327725695,0.6794935873929773,4.924534841235627,0.038502546595673315,5.507228553279171,1.098165490380131,0.21114669301053596,7
8,50.0,15.481939159514916,2.395944165536738,15.20016055865192,0.07866212879541552,16.84329398750101,75.0028350804494,11.969338306338793,3.464077956264665,0.4062691457510626,4.4060453796158585,0.02612758457052581,3.666820411780072,0.9244685923468334,0.1340175428827906,9
9,50.0,14.030451869224608,2.0753181189280037,15.757558232387348,0.07081406700366247,18.065857712456378,71.56222768336094,13.751308540418517,3.6795408523794295,0.39181252503900255,5.149861203005167,0.02956065534789922,4.500551473763893,0.809446600732833,0.12569046595230327,10
10,50.0,14.673016876623185,1.848036795273758,15.588230186090534,0.062253574674498685,17.828462567338022,74.24999192627939,12.45462690728464,3.4714856473590343,0.3336772711267905,4.640542000089678,0.024547085911582032,3.984407359965847,0.7243899012550159,0.1163319007280197,11
11,50.0,13.834167207000025,2.9633506482321903,13.391795968937888,0.08769084112225158,19.722995334707644,62.94643916851677,17.41600302578451,4.839768362188,0.7205612365746961,5.652246041686784,0.051381979737165066,6.152047626129027,2.0394912132584526,0.1820613461245991,12
